eta;run;va_mean;std
3.00000000;10;0.52354267;0.06543632
3.50000000;1;0.38971475;0.07557892
3.50000000;2;0.38465340;0.08213519
3.50000000;3;0.39585815;0.07491094
3.50000000;4;0.36107020;0.10267247
3.50000000;5;0.37233039;0.09232382
3.50000000;6;0.38721438;0.09567573
3.50000000;7;0.35197836;0.10402999
3.50000000;8;0.38760445;0.08170459
3.50000000;9;0.36265904;0.09172352
3.50000000;10;0.37901378;0.09347127
4.00000000;1;0.21984281;0.08370698
4.00000000;2;0.20918795;0.08588668
4.00000000;3;0.19448121;0.07894643
4.00000000;4;0.22187648;0.07783258
4.00000000;5;0.21036999;0.08119997
4.00000000;6;0.20855345;0.08007907
4.00000000;7;0.20500298;0.07985376
4.00000000;8;0.21556902;0.07884491
4.00000000;9;0.20302841;0.07886776
4.00000000;10;0.19894960;0.08348949
4.50000000;1;0.09761962;0.04709779
4.50000000;2;0.10132045;0.04907775
4.50000000;3;0.09804645;0.04954503
4.50000000;4;0.10126696;0.04959736
4.50000000;5;0.09919192;0.04974682
4.50000000;6;0.10175424;0.04915982
4.50000000;7;0.09625491;0.04726261
4.50000000;8;0.10188360;0.05067863
4.50000000;9;0.10067317;0.04883993
4.50000000;10;0.09846127;0.04805217
5.00000000;1;0.05996925;0.03144049
5.00000000;2;0.06309193;0.03267619
5.00000000;3;0.06343637;0.03165071
5.00000000;4;0.06391377;0.03244404
5.00000000;5;0.05988801;0.03069985
5.00000000;6;0.06223794;0.03225703
5.00000000;7;0.06063848;0.03191911
5.00000000;8;0.05999369;0.03063337
5.00000000;9;0.06173343;0.03314532
5.00000000;10;0.06429416;0.03238435
0.00000000;1;1.00000000;0.00000000
0.00000000;2;0.99999901;0.00000228
0.00000000;3;0.99997506;0.00006449
0.00000000;4;0.99999932;0.00000114
0.00000000;5;0.99999996;0.00000008
0.00000000;6;0.99303954;0.00605376
0.00000000;7;0.99999540;0.00000779
0.00000000;8;0.99999913;0.00000213
0.00000000;9;0.99999983;0.00000049
0.00000000;10;0.99815240;0.00378640
0.20000000;1;0.99799252;0.00018837
0.20000000;2;0.99711782;0.00125462
0.20000000;3;0.99747805;0.00097850
0.20000000;4;0.99787650;0.00024360
0.20000000;5;0.99753545;0.00044493
0.20000000;6;0.99667388;0.00277289
0.20000000;7;0.99803008;0.00016345
0.20000000;8;0.99776089;0.00036548
0.20000000;9;0.99787640;0.00022105
0.20000000;10;0.99780642;0.00028487
0.40000000;1;0.99086468;0.00143125
0.40000000;2;0.99093221;0.00124470
0.40000000;3;0.99144101;0.00098191
0.40000000;4;0.99115903;0.00123801
0.40000000;5;0.99062156;0.00148557
0.40000000;6;0.99170858;0.00105576
0.40000000;7;0.99125847;0.00111294
0.40000000;8;0.99117050;0.00161853
0.40000000;9;0.99124752;0.00106519
0.40000000;10;0.99112570;0.00113989
0.60000000;1;0.97974872;0.00249093
0.60000000;2;0.97919554;0.00340103
0.60000000;3;0.98033725;0.00233166
0.60000000;4;0.98066569;0.00262692
0.60000000;5;0.97998894;0.00238193
0.60000000;6;0.97928710;0.00311090
0.60000000;7;0.97992200;0.00349804
0.60000000;8;0.97981030;0.00262868
0.60000000;9;0.98036901;0.00273720
0.60000000;10;0.97942249;0.00305348
0.80000000;1;0.96348796;0.00543727
0.80000000;2;0.96355710;0.00486430
0.80000000;3;0.96190896;0.00678914
0.80000000;4;0.96629174;0.00398588
0.80000000;5;0.96446611;0.00540249
0.80000000;6;0.96379672;0.00654005
0.80000000;7;0.96388773;0.00484840
0.80000000;8;0.96412265;0.00484851
0.80000000;9;0.96656033;0.00349449
0.80000000;10;0.96283083;0.00706326
1.00000000;1;0.94495738;0.00729292
1.00000000;2;0.94446522;0.00715905
1.00000000;3;0.94196483;0.01131941
1.00000000;4;0.94575415;0.00686341
1.00000000;5;0.94344671;0.00980979
1.00000000;6;0.94378444;0.00709626
1.00000000;7;0.94383442;0.00744765
1.00000000;8;0.94220063;0.00949632
1.00000000;9;0.94520580;0.00665412
1.00000000;10;0.94351198;0.00789180
1.20000000;1;0.92210427;0.00889993
1.20000000;2;0.92188020;0.00913287
1.20000000;3;0.91552502;0.01440019
1.20000000;4;0.91893484;0.01175450
1.20000000;5;0.91999083;0.00931584
1.20000000;6;0.91787106;0.01089555
1.20000000;7;0.91600907;0.01315162
1.20000000;8;0.91620001;0.01299636
1.20000000;9;0.92039028;0.00958391
1.20000000;10;0.92046617;0.00969418
1.40000000;1;0.89348564;0.01293284
1.40000000;2;0.89436614;0.01635381
1.40000000;3;0.89024643;0.01723701
1.40000000;4;0.89305514;0.01256725
1.40000000;5;0.89323808;0.01285488
1.40000000;6;0.89641897;0.01151940
1.40000000;7;0.89215043;0.01210672
1.40000000;8;0.89146075;0.01514213
1.40000000;9;0.89280803;0.01656579
1.40000000;10;0.89181601;0.01309766
1.60000000;1;0.85854693;0.01881927
1.60000000;2;0.85973713;0.01747156
1.60000000;3;0.86049917;0.01544324
1.60000000;4;0.85726590;0.02156935
1.60000000;5;0.86127718;0.01613097
1.60000000;6;0.85897392;0.01893419
1.60000000;7;0.85810776;0.01789236
1.60000000;8;0.85746183;0.02186487
1.60000000;9;0.85973879;0.01780714
1.60000000;10;0.85997802;0.01770627
1.80000000;1;0.81740853;0.02769708
1.80000000;2;0.82427240;0.02544293
1.80000000;3;0.82290946;0.02889204
1.80000000;4;0.81927897;0.03164177
1.80000000;5;0.82326329;0.02331882
1.80000000;6;0.82008229;0.02741223
1.80000000;7;0.81972241;0.02619592
1.80000000;8;0.82713268;0.02144512
1.80000000;9;0.81958483;0.02677832
1.80000000;10;0.82034651;0.02982275
2.00000000;1;0.78416798;0.02934217
2.00000000;2;0.78314042;0.03147766
2.00000000;3;0.77853105;0.03426341
2.00000000;4;0.78827960;0.02278703
2.00000000;5;0.78230433;0.03426544
2.00000000;6;0.78173216;0.03612118
2.00000000;7;0.78750615;0.02607885
2.00000000;8;0.78883114;0.02442200
2.00000000;9;0.78164255;0.03282930
2.00000000;10;0.78205628;0.03230466
2.20000000;1;0.74296984;0.03665658
2.20000000;2;0.75167864;0.02915262
2.20000000;3;0.74865129;0.02913614
2.20000000;4;0.73621644;0.03891897
2.20000000;5;0.74200861;0.03163656
2.20000000;6;0.74077707;0.03544271
2.20000000;7;0.74303646;0.03481304
2.20000000;8;0.74136446;0.03520372
2.20000000;9;0.74732274;0.02977827
2.20000000;10;0.73924841;0.03591068
2.40000000;1;0.68933510;0.04744551
2.40000000;2;0.70044383;0.03917922
2.40000000;3;0.69980448;0.03798881
2.40000000;4;0.69731894;0.04268251
2.40000000;5;0.69395990;0.04094072
2.40000000;6;0.70400682;0.03198815
2.40000000;7;0.70239122;0.03616591
2.40000000;8;0.69739644;0.03845889
2.40000000;9;0.69568738;0.03720824
2.40000000;10;0.69949973;0.03606689
2.60000000;1;0.65318480;0.04266649
2.60000000;2;0.64635466;0.04905231
2.60000000;3;0.65430993;0.04203634
2.60000000;4;0.64702387;0.05051000
2.60000000;5;0.64347083;0.04719117
2.60000000;6;0.64172714;0.05523893
2.60000000;7;0.64485902;0.05008607
2.60000000;8;0.65091326;0.04486035
2.60000000;9;0.65038203;0.04201227
2.60000000;10;0.64109861;0.04836817
2.80000000;1;0.59697739;0.04659726
2.80000000;2;0.60126987;0.04664618
2.80000000;3;0.60191336;0.04404435
2.80000000;4;0.59574846;0.04773133
2.80000000;5;0.59797683;0.04813697
2.80000000;6;0.60919020;0.04361836
2.80000000;7;0.60063392;0.04579887
2.80000000;8;0.61003539;0.04149259
2.80000000;9;0.59514807;0.06520934
2.80000000;10;0.59431042;0.05227340
3.00000000;1;0.54391967;0.05589174
3.00000000;2;0.53444812;0.06287906
3.00000000;3;0.54113859;0.06143811
3.00000000;4;0.53524149;0.06742138
3.00000000;5;0.54460167;0.06181385
3.00000000;6;0.53350007;0.07060678
3.00000000;7;0.52968862;0.06149204
3.00000000;8;0.55812200;0.04504698
3.00000000;9;0.53721837;0.05931710
3.00000000;10;0.53527847;0.05462437
3.50000000;1;0.38675612;0.08535884
3.50000000;2;0.40044598;0.06802498
3.50000000;3;0.38796231;0.08176007
3.50000000;4;0.35093450;0.10372730
3.50000000;5;0.37686482;0.07914103
3.50000000;6;0.38207343;0.08004000
3.50000000;7;0.37331227;0.08891657
3.50000000;8;0.36510502;0.09664252
